Keyword,Video_Title,Video_Link,Channel_Name,Channel_Link,Total_Views,Publish_Date,Description
Poder Judicial,"
            
            CNDH expresa oposición a reforma al Poder Judicial en México
          ",https://www.youtube.com/watch?v=SYZINRMC6dI&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,MILENIO,https://www.youtube.com/@milenio,1.2K views,2 months ago,"La Comisión Nacional de los Derechos Humanos ha manifestado su oposición a la reciente reforma al Poder Judicial, ..."
Poder Judicial,"
            
            ""El Poder Judicial es CORRUPTO e INEPTO""
          ",https://www.youtube.com/shorts/scdX1g7qmXc,MILENIO,https://www.youtube.com/@milenio,47K views,3 months ago,noticiasmilenio #políticajoven #pedrogamboa #reformaalpoderjudicial #pjf #scjn #cámaradediputados #senado #amlo ...
Poder Judicial,"
            
            Así triunfó la reforma judicial en la Corte
          ",https://www.youtube.com/watch?v=HnAMah32hL8&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Grupo Fórmula,https://www.youtube.com/@GrupoFormula-RF,326K views,1 month ago,Hoy se vivió un día histórico en México: la Suprema Corte de Justicia de la Nación (SCJN) discutió el proyecto del ministro Juan ...
Poder Judicial,"
            
            Joaquín critica reforma al Poder Judicial: “Así son las venganzas""
          ",https://www.youtube.com/shorts/UUBV4wDF8Tw,Grupo Fórmula,https://www.youtube.com/@GrupoFormula-RF,350K views,3 months ago,"Joaquín López-Dóriga señala que la reforma al Poder Judicial incluye un artículo en 'venganza' contra Luis María Aguilar, ..."
Poder Judicial,"
            
            Agarrón en la mesa de Ciro por protestas del Poder Judicial
          ",https://www.youtube.com/watch?v=Dt0L8lpTLH0&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Grupo Fórmula,https://www.youtube.com/@GrupoFormula-RF,640K views,2 months ago,Epigmenio Ibarra discutió con Ciro Gómez Leyva y Miriam Moreno sobre la protesta de trabajadores del Poder Judicial.
Poder Judicial,"
            
            Anuncian reformas al Poder Judicial y Fiscalías en México
          ",https://www.youtube.com/watch?v=nhZyhnpOZuQ&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,MILENIO,https://www.youtube.com/@milenio,9.8K views,2 months ago,"Gerardo Fernández Noroña anunció que se impulsarán reformas a la Fiscalía General de la República y a las fiscalías locales, ..."
Poder Judicial,"
            
            ¿Reforma al Poder Judicial presenta una contradicción? Cámara de Diputados evalúa modificaciones
          ",https://www.youtube.com/watch?v=-w0yQQbcXT8&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,El Heraldo de México,https://www.youtube.com/@elheraldodemexico,5K views,1 month ago,"La recién aprobada Reforma Constitucional al Poder Judicial establece en dos artículos mecanismos contrarios, reconoció ..."
Poder Judicial,"
            
            Sesión Pública del del Pleno de La Corte (SCJN) del 5 de noviembre 2024.
          ",https://www.youtube.com/watch?v=ME4_8kMms5M&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,Justicia TV,https://www.youtube.com/@JusticiaTV_MX,136K views,Streamed 1 month ago,Síguenos en nuestras redes sociales: https://www.tiktok.com/@justiciatv_mx https://twitter.com/justiciatv_mx ...
Poder Judicial,"
            
            Trabajadores del Poder Judicial no regresaron a laborar este jueves - En Punto
          ",https://www.youtube.com/watch?v=cZGn7-hw6Es&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,NMás,https://www.youtube.com/@nmas,2.8K views,1 month ago,Los más de mil 200 trabajadores del Poder Judicial decidieron continuar con el paro y se negaron a regresar a sus labores este ...
Poder Judicial,"
            
            Poder Judicial cierra las inscripciones para la elección de jueces, magistrados y ministros
          ",https://www.youtube.com/watch?v=qV44F-AA4Q4&pp=ygUOUG9kZXIgSnVkaWNpYWw%3D,EXCELSIOR,https://www.youtube.com/@ExcelsiorMex,546 views,13 days ago,"Anoche concluyó el registro de candidatos para la elección de 2025 al cargo de jueces, magistrados y ministros. Al cierre de esta ..."
